Name,Lev,Tm,VH,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS
Nomar Mazara,MLB-AL,Texas,0,Los Angeles,1,4,4,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Brian McCann,MLB-AL,New York,1,Tampa Bay,1,5,5,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0
Andrew McCutchen,MLB-NL,Pittsburgh,1,Milwaukee,1,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Jordy Mercer,MLB-NL,Pittsburgh,1,Milwaukee,1,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Whit Merrifield,MLB-AL,Kansas City,1,Cleveland,1,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Brad Miller,MLB-AL,Tampa Bay,0,New York,1,4,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0
Miguel Montero,MLB-NL,Chicago,0,Cincinnati,1,5,5,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0
Mike Montgomery,MLB-NL,Chicago,0,Cincinnati,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Matt Moore,MLB-NL,San Francisco,1,Los Angeles,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kendrys Morales,MLB-AL,Kansas City,1,Cleveland,1,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0
Mitch Moreland,MLB-AL,Texas,0,Los Angeles,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Brandon Moss,MLB-NL,St. Louis,1,Colorado,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tom Murphy,MLB-NL,Colorado,0,St. Louis,1,4,4,1,1,0,0,1,3,0,0,3,0,0,0,0,0,0
Wil Myers,MLB-NL,San Diego,0,Arizona,1,4,3,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0
Mike Napoli,MLB-AL,Cleveland,0,Kansas City,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Tyler Naquin,MLB-AL,Cleveland,0,Kansas City,1,4,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0
Jimmy Nelson,MLB-NL,Milwaukee,0,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brandon Nimmo,MLB-NL,New York,0,Atlanta,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Norris,MLB-NL,San Diego,0,Arizona,1,4,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Eduardo Nunez,MLB-NL,San Francisco,1,Los Angeles,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Shawn O'Malley,MLB-AL,Seattle,0,Toronto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rougned Odor,MLB-AL,Texas,0,Los Angeles,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Matt Olson,MLB-AL,Oakland,0,Houston,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Ortega,MLB-AL,Los Angeles,1,Texas,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
David Ortiz,MLB-AL,Boston,1,Baltimore,1,4,3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0
Chris Owings,MLB-NL,Arizona,1,San Diego,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcell Ozuna,MLB-NL,Miami,0,Washington,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Angel Pagan,MLB-NL,San Francisco,1,Los Angeles,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Joe Panik,MLB-NL,San Francisco,1,Los Angeles,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jarrett Parker,MLB-NL,San Francisco,1,Los Angeles,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gerardo Parra,MLB-NL,Colorado,0,St. Louis,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Jordan Patterson,MLB-NL,Colorado,0,St. Louis,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dustin Pedroia,MLB-AL,Boston,1,Baltimore,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brayan Pena,MLB-NL,St. Louis,1,Colorado,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Pence,MLB-NL,San Francisco,1,Los Angeles,1,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Cliff Pennington,MLB-AL,Los Angeles,1,Texas,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jose Peraza,MLB-NL,Cincinnati,1,Chicago,1,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Luis Perdomo,MLB-NL,San Diego,0,Arizona,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Carlos Perez,MLB-AL,Los Angeles,1,Texas,1,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Hernan Perez,MLB-NL,Milwaukee,0,Pittsburgh,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Roberto Perez,MLB-AL,Cleveland,0,Kansas City,1,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Salvador Perez,MLB-AL,Kansas City,1,Cleveland,1,4,4,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0
Jace Peterson,MLB-NL,Atlanta,1,New York,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregorio Petit,MLB-AL,Los Angeles,1,Texas,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
