Date,home,visitor,home_open_odds,visitor_open_odds,home_close_odds,visitor_close_odds,home_win_loss,visitor_win_loss,Home_PitchingK%,Home_PitchingBB%,Home_PitchingOBP_allowed,Home_PitchingSLG%_allowed,Visitor_PitchingK%,Visitor_PitchingBB%,Visitor_PitchingOBP_allowed,Visitor_PitchingSLG%_allowed,Home_HittingK%,Home_HittingBB%,Home_HittingOBP,Home_HittingSLG%,Visitor_HittingK%,Visitor_HittingBB%,Visitor_HittingOBP,Visitor_HittingSLG%
2018-04-08,PIT,CIN,-150,135,-155.0,140.0,1,0,0.19393939393939394,0.11212121212121212,0.34146341463414637,0.40069686411149824,0.16363636363636364,0.10909090909090909,0.35036496350364965,0.4595744680851064,0.15384615384615385,0.1076923076923077,0.35714285714285715,0.4412811387900356,0.2342007434944238,0.09665427509293681,0.33458646616541354,0.37872340425531914
2018-04-08,PHI,MIA,-185,165,-200.0,175.0,0,1,0.2126865671641791,0.08208955223880597,0.32575757575757575,0.37606837606837606,0.21866666666666668,0.104,0.353887399463807,0.45565749235474007,0.2743682310469314,0.1263537906137184,0.33454545454545453,0.4025423728813559,0.2287390029325513,0.08797653958944282,0.29705882352941176,0.2786885245901639
2018-04-08,MIL,CUB,115,-130,104.0,-114.0,0,1,0.22252747252747251,0.08791208791208792,0.3333333333333333,0.4228395061728395,0.21686746987951808,0.10843373493975904,0.3191489361702128,0.3146853146853147,0.2471264367816092,0.06321839080459771,0.30057803468208094,0.3836477987421384,0.23876404494382023,0.10955056179775281,0.32577903682719545,0.3704918032786885
2018-04-08,STL,ARI,-145,130,-165.0,145.0,0,1,0.23870967741935484,0.10967741935483871,0.34967320261437906,0.40225563909774437,0.27564102564102566,0.07692307692307693,0.275974025974026,0.3546099290780142,0.2709030100334448,0.07357859531772576,0.30434782608695654,0.41697416974169743,0.23076923076923078,0.13230769230769232,0.35093167701863354,0.4
2018-04-08,COL,ATL,-140,125,-155.0,140.0,0,1,0.1906158357771261,0.11143695014662756,0.3382352941176471,0.39864864864864863,0.2289156626506024,0.13855421686746988,0.34545454545454546,0.4028776978417266,0.23919308357348704,0.10662824207492795,0.3188405797101449,0.4169381107491857,0.1686746987951807,0.10542168674698796,0.37538461538461537,0.4645390070921986
2018-04-08,SFO,LOS,175,-200,215.0,-245.0,0,1,0.19117647058823528,0.09558823529411764,0.31365313653136534,0.3112033195020747,0.23853211009174313,0.0764525993883792,0.2962962962962963,0.3859060402684564,0.21897810218978103,0.06204379562043796,0.2952029520295203,0.40476190476190477,0.21406727828746178,0.08868501529051988,0.2777777777777778,0.28865979381443296
2018-04-08,WAS,NYM,-145,130,-187.0,167.0,0,1,0.26973684210526316,0.08552631578947369,0.32450331125827814,0.4280442804428044,0.328,0.088,0.2570281124497992,0.3053097345132743,0.21052631578947367,0.13003095975232198,0.3447204968944099,0.41911764705882354,0.21132075471698114,0.12452830188679245,0.3688212927756654,0.40358744394618834
2018-04-08,NYY,BAL,-200,175,-185.0,165.0,0,1,0.3023255813953488,0.08430232558139535,0.27988338192419826,0.3557692307692308,0.21606648199445982,0.10803324099722991,0.3388888888888889,0.42948717948717946,0.21875,0.12215909090909091,0.3247863247863248,0.41776315789473684,0.28212290502793297,0.0893854748603352,0.2696629213483146,0.3364485981308411
2018-04-08,BOS,TAM,-220,195,-200.0,175.0,1,0,0.2564935064935065,0.08441558441558442,0.2671009771986971,0.27956989247311825,0.1935483870967742,0.11290322580645161,0.3344155844155844,0.42379182156133827,0.15337423312883436,0.0950920245398773,0.3230769230769231,0.4,0.2638888888888889,0.08333333333333333,0.25435540069686413,0.26436781609195403
2018-04-08,CLE,KAN,-210,185,-214.0,189.0,1,0,0.2226027397260274,0.0684931506849315,0.28620689655172415,0.40601503759398494,0.19090909090909092,0.08636363636363636,0.29545454545454547,0.3869346733668342,0.23588039867109634,0.09966777408637874,0.25333333333333335,0.27715355805243447,0.15311004784688995,0.07177033492822966,0.25,0.2712765957446808
