Date,VH,Team,Pitcher,Open,Close,Final
2018-03-29,V,CUB,JLESTER-L,-175,-200.0,8
2018-03-29,H,MIA,JURENA-R,155,175.0,4
2018-03-29,V,STL,CMARTINEZ-R,110,123.0,4
2018-03-29,H,NYM,NSYNDERGAARD-R,-125,-138.0,9
2018-03-29,V,PHI,ANOLA-R,-125,-131.0,5
2018-03-29,H,ATL,JTEHERAN-R,110,116.0,8
2018-03-29,V,MIL,CANDERSON-R,-115,-131.0,2
2018-03-29,H,SDG,CRICHARD-L,105,116.0,1
2018-03-29,V,SFO,TBLACH-L,260,266.0,1
2018-03-29,H,LOS,CKERSHAW-L,-300,-306.0,0
2018-03-29,V,COL,JGRAY-R,-115,-101.0,2
2018-03-29,H,ARI,PCORBIN-L,105,-109.0,8
2018-03-29,V,MIN,JODORIZZI-R,110,112.0,2
2018-03-29,H,BAL,DBUNDY-R,-125,-127.0,3
2018-03-29,V,HOU,JVERLANDER-R,-168,-160.0,4
2018-03-29,H,TEX,CHAMELS-L,148,140.0,1
2018-03-29,V,NYY,LSEVERINO-R,-155,-171.0,6
2018-03-29,H,TOR,JHAPP-L,140,151.0,1
2018-03-29,V,BOS,CSALE-L,-175,-173.0,4
2018-03-29,H,TAM,CARCHER-R,155,153.0,6
2018-03-29,V,LAA,GRICHARDS-R,-135,-118.0,5
2018-03-29,H,OAK,KGRAVEMAN-R,120,108.0,6
2018-03-29,V,CWS,JSHIELDS-R,150,125.0,14
2018-03-29,H,KAN,DDUFFY-L,-170,-140.0,7
2018-03-29,V,CLE,CKLUBER-R,-170,-180.0,1
2018-03-29,H,SEA,FHERNANDEZ-R,150,160.0,2
2018-03-30,V,CUB,KHENDRICKS-R,-230,-200.0,1
2018-03-30,H,MIA,CSMITH-L,205,175.0,2
2018-03-30,V,PHI,NPIVETTA-R,115,-109.0,5
2018-03-30,H,ATL,MFOLTYNEWICZ-R,-130,-101.0,4
2018-03-30,V,COL,TANDERSON-L,145,128.0,8
2018-03-30,H,ARI,RRAY-L,-165,-143.0,9
2018-03-30,V,SFO,JCUETO-R,170,143.0,1
2018-03-30,H,LOS,AWOOD-L,-190,-163.0,0
2018-03-30,V,MIL,JCHACIN-R,-123,-113.0,8
2018-03-30,H,SDG,JLUCCHESI-L,113,103.0,6
2018-03-30,V,NYY,MTANAKA-R,-145,-137.0,4
2018-03-30,H,TOR,ASANCHEZ-R,130,122.0,2
2018-03-30,V,BOS,DPRICE-L,-175,-141.0,1
2018-03-30,H,TAM,BSNELL-L,155,126.0,0
2018-03-30,V,HOU,DKEUCHEL-L,-200,-170.0,1
2018-03-30,H,TEX,DFISTER-R,175,150.0,5
2018-03-30,V,LAA,TSKAGGS-L,-103,-114.0,2
2018-03-30,H,OAK,SMANAEA-L,-107,104.0,1
2018-03-30,V,WAS,MSCHERZER-R,-200,-215.0,2
2018-03-30,H,CIN,HBAILEY-R,175,190.0,0
2018-03-30,V,PIT,INOVA-R,-119,-129.0,13
2018-03-30,H,DET,JZIMMERMANN-R,109,114.0,10
2018-03-31,V,STL,MWACHA-R,140,107.0,2
2018-03-31,H,NYM,JDEGROM-R,-155,-117.0,6
2018-03-31,V,WAS,SSTRASBURG-R,-185,-145.0,13
2018-03-31,H,CIN,LCASTILLO-R,165,130.0,7
2018-03-31,V,PHI,VVELASQUEZ-R,110,105.0,2
2018-03-31,H,ATL,BMCCARTHY-R,-125,-115.0,15
2018-03-31,V,CUB,YDARVISH-R,-230,-210.0,10
2018-03-31,H,MIA,ODESPAIGNE-R,205,185.0,6
2018-03-31,V,COL,GMARQUEZ-R,145,136.0,2
2018-03-31,H,ARI,ZGREINKE-R,-165,-151.0,1
2018-03-31,V,MIL,BSUTER-L,-125,-120.0,7
2018-03-31,H,SDG,LPERDOMO-R,110,110.0,3
2018-03-31,V,SFO,DHOLLAND-L,185,180.0,0
2018-03-31,H,LOS,KMAEDA-R,-210,-205.0,5
2018-03-31,V,HOU,LMCCULLERSJR.-R,-190,-201.0,9
2018-03-31,H,TEX,MMOORE-L,170,176.0,3
2018-03-31,V,LAA,MSHOEMAKER-R,-127,-107.0,8
2018-03-31,H,OAK,DMENGDEN-R,112,-103.0,3
2018-03-31,V,NYY,CSABATHIA-L,-145,-104.0,3
2018-03-31,H,TOR,MESTRADA-R,130,-106.0,5
2018-03-31,V,CLE,CCARRASCO-R,-121,-107.0,6
2018-03-31,H,SEA,JPAXTON-L,111,-103.0,5
2018-03-31,V,BOS,RPORCELLO-R,-155,-111.0,3
2018-03-31,H,TAM,AKITTREDGE-R,140,101.0,2
2018-03-31,V,MIN,KGIBSON-R,114,-119.0,6
2018-03-31,H,BAL,ACASHNER-R,-124,109.0,2
2018-03-31,V,CWS,LGIOLITO-R,111,-108.0,4
2018-03-31,H,KAN,IKENNEDY-R,-126,-102.0,3
2018-04-01,V,CUB,JQUINTANA-L,-205,-208.0,0
2018-04-01,H,MIA,DPETERS-L,180,183.0,6
2018-04-01,V,STL,LWEAVER-R,-111,-152.0,5
2018-04-01,H,NYM,SMATZ-L,101,137.0,1
2018-04-01,V,WAS,GGONZALEZ-L,-165,-131.0,6
2018-04-01,H,CIN,SROMANO-R,145,116.0,5
2018-04-01,V,SFO,CSTRATTON-R,165,175.0,0
2018-04-01,H,LOS,RHILL-L,-185,-195.0,9
2018-04-01,V,MIN,JBERRIOS-R,105,103.0,7
2018-04-01,H,BAL,KGAUSMAN-R,-115,-113.0,0
2018-04-01,V,NYY,SGRAY-R,-119,104.0,4
2018-04-01,H,TOR,MSTROMAN-R,109,-114.0,7
2018-04-01,V,BOS,HVELAZQUEZ-R,-115,104.0,2
2018-04-01,H,TAM,JFARIA-R,105,-114.0,1
2018-04-01,V,HOU,GCOLE-R,-155,-155.0,8
2018-04-01,H,TEX,MMINOR-L,140,140.0,2
2018-04-01,V,LAA,SOHTANI-R,-119,-126.0,7
2018-04-01,H,OAK,DGOSSETT-R,109,111.0,4
2018-04-01,V,CLE,TBAUER-R,-140,-145.0,4
2018-04-01,H,SEA,MLEAKE-R,125,130.0,5
2018-04-01,V,PIT,TWILLIAMS-R,-101,101.0,1
2018-04-01,H,DET,MFULMER-R,-109,-111.0,0
2018-04-01,V,PIT,CKUHL-R,-105,-121.0,8
2018-04-01,H,DET,RCARPENTER-L,-105,111.0,6
2018-04-02,V,STL,MMIKOLAS-R,115,101.0,8
2018-04-02,H,MIL,ZDAVIES-R,-130,-111.0,4
2018-04-02,V,CUB,TCHATWOOD-R,-140,-140.0,0
2018-04-02,H,CIN,TMAHLE-R,125,125.0,1
2018-04-02,V,WAS,TROARK-R,-130,-121.0,8
2018-04-02,H,ATL,SNEWCOMB-L,115,111.0,1
2018-04-02,V,LOS,HRYU-L,-115,-109.0,7
2018-04-02,H,ARI,TWALKER-R,105,-101.0,8
2018-04-02,V,COL,CBETTIS-R,-120,101.0,7
2018-04-02,H,SDG,BMITCHELL-R,110,-111.0,4
2018-04-02,V,KAN,JHAMMEL-R,-102,101.0,1
2018-04-02,H,DET,FLIRIANO-L,-108,-111.0,6
2018-04-02,V,CWS,RLOPEZ-R,125,155.0,2
2018-04-02,H,TOR,JGARCIA-L,-140,-175.0,4
2018-04-02,V,BAL,CTILLMAN-R,185,203.0,1
2018-04-02,H,HOU,CMORTON-R,-210,-228.0,6
2018-04-02,V,TEX,BCOLON-R,115,147.0,1
2018-04-02,H,OAK,ATRIGGS-R,-130,-167.0,3
2018-04-02,V,CLE,MCLEVINGER-R,-135,-111.0,6
2018-04-02,H,LAA,JRAMIREZ-R,120,101.0,0
2018-04-02,V,MIN,LLYNN-R,-102,131.0,4
2018-04-02,H,PIT,JTAILLON-R,-108,-146.0,5
2018-04-02,V,BOS,BJOHNSON-L,-170,-133.0,7
2018-04-02,H,MIA,TRICHARDS-R,150,118.0,3
2018-04-03,V,PHI,BLIVELY-R,103,111.0,0
2018-04-03,H,NYM,MHARVEY-R,-113,-126.0,2
2018-04-03,V,WAS,ACOLE-R,-115,-129.0,6
2018-04-03,H,ATL,JTEHERAN-R,105,114.0,13
2018-04-03,V,STL,JFLAHERTY-R,125,-102.0,4
2018-04-03,H,MIL,CANDERSON-R,-140,-108.0,5
2018-04-03,V,LOS,CKERSHAW-L,-175,-173.0,1
2018-04-03,H,ARI,ZGODLEY-R,155,153.0,6
2018-04-03,V,COL,KFREELAND-L,-122,-112.0,4
2018-04-03,H,SDG,TROSS-R,112,102.0,8
2018-04-03,V,KAN,JJUNIS-R,-115,102.0,1
2018-04-03,H,DET,MBOYD-L,105,-112.0,0
2018-04-03,V,CWS,MGONZALEZ-R,145,165.0,5
2018-04-03,H,TOR,JHAPP-L,-165,-185.0,14
2018-04-03,V,BAL,MWRIGHTJR.-R,225,220.0,6
2018-04-03,H,HOU,JVERLANDER-R,-255,-250.0,10
2018-04-03,V,TEX,CHAMELS-L,-103,117.0,4
2018-04-03,H,OAK,KGRAVEMAN-R,-107,-132.0,1
2018-04-03,V,CLE,JTOMLIN-R,110,118.0,2
2018-04-03,H,LAA,GRICHARDS-R,-120,-133.0,13
2018-04-03,V,SEA,MGONZALES-L,115,105.0,6
2018-04-03,H,SFO,TBLACH-L,-130,-115.0,4
2018-04-03,V,BOS,CSALE-L,-260,-270.0,4
2018-04-03,H,MIA,JURENA-R,230,235.0,2
2018-04-03,V,TAM,CARCHER-R,140,165.0,4
2018-04-03,H,NYY,JMONTGOMERY-L,-160,-185.0,11
2018-04-04,V,WAS,MSCHERZER-R,-200,-209.0,1
