Date,VH,Team,Pitcher,Open
2017-04-05,H,MIL,WPERALTA-R,104
2017-04-05,V,SFO,MMOORE-L,-126
2017-04-05,H,ARI,TWALKER-R,111
2017-04-05,V,SDG,TCAHILL-R,230
2017-04-05,H,LOS,RHILL-L,-260
2017-04-05,V,KAN,IKENNEDY-R,101
2017-04-05,H,MIN,HSANTIAGO-L,-111
2017-04-05,V,NYY,MPINEDA-R,105
2017-04-05,H,TAM,ACOBB-R,-115
2017-04-05,V,TOR,JHAPP-L,-111
2017-04-05,H,BAL,DBUNDY-R,101
2017-04-05,V,CLE,DSALAZAR-R,108
2017-04-05,H,TEX,CHAMELS-L,-118
2017-04-05,V,SEA,JPAXTON-L,-120
2017-04-05,H,HOU,CMORTON-R,110
2017-04-05,V,LAA,GRICHARDS-R,-118
2017-04-05,H,OAK,JCOTTON-R,108
2017-04-05,V,PIT,JTAILLON-R,176
2017-04-05,H,BOS,CSALE-L,-201
2017-04-06,V,PHI,CBUCHHOLZ-R,-104
2017-04-06,H,CIN,RDAVIS-R,-106
2017-04-06,V,COL,ASENZATELA-R,-115
2017-04-06,H,MIL,CANDERSON-R,105
2017-04-06,V,SDG,JWEAVER-R,200
2017-04-06,H,LOS,BMCCARTHY-R,-225
2017-04-06,V,MIA,TKOEHLER-R,145
2017-04-06,H,WAS,GGONZALEZ-L,-165
2017-04-06,V,ATL,JGARCIA-L,155
2017-04-06,H,NYM,MHARVEY-R,-175
2017-04-06,V,SFO,JSAMARDZIJA-R,-120
2017-04-06,H,ARI,RRAY-L,110
2017-04-06,V,KAN,JHAMMEL-R,105
2017-04-06,H,MIN,KGIBSON-R,-115
2017-04-06,V,DET,MBOYD-L,-129
2017-04-06,H,CWS,JSHIELDS-R,114
2017-04-06,V,LAA,TSKAGGS-L,-104
2017-04-06,H,OAK,ATRIGGS-R,-106
2017-04-06,V,TOR,MSTROMAN-R,-130
2017-04-06,H,TAM,BSNELL-L,115
2017-04-06,V,SEA,AMIRANDA-L,135
2017-04-06,H,HOU,JMUSGROVE-R,-150
2017-04-06,V,CUB,JLACKEY-R,-125
2017-04-06,H,STL,LLYNN-R,110
2017-04-07,V,ATL,MFOLTYNEWICZ-R,125
2017-04-07,H,PIT,INOVA-R,-140
2017-04-07,V,WAS,MSCHERZER-R,-165
2017-04-07,H,PHI,VVELASQUEZ-R,145
2017-04-07,V,LOS,HRYU-L,-105
2017-04-07,H,COL,KFREELAND-L,-105
2017-04-07,V,SFO,MCAIN-R,-130
2017-04-07,H,SDG,LPERDOMO-R,115
2017-04-07,V,MIA,WCHEN-L,130
2017-04-07,H,NYM,ZWHEELER-R,-145
2017-04-07,V,CUB,BANDERSON-L,-140
2017-04-07,H,MIL,JNELSON-R,125
2017-04-07,V,CIN,AGARRETT-L,145
2017-04-07,H,STL,MLEAKE-R,-165
2017-04-07,V,BOS,SWRIGHT-R,110
2017-04-07,H,DET,MFULMER-R,-120
2017-04-07,V,NYY,LSEVERINO-R,110
2017-04-07,H,BAL,UJIMENEZ-R,-120
2017-04-07,V,TOR,FLIRIANO-L,-125
2017-04-07,H,TAM,MANDRIESE-R,110
2017-04-07,V,OAK,RALCANTARA-R,145
2017-04-07,H,TEX,AGRIFFIN-R,-165
2017-04-07,V,MIN,PHUGHES-R,110
2017-04-07,H,CWS,DHOLLAND-L,-120
2017-04-07,V,KAN,JVARGAS-L,140
2017-04-07,H,HOU,MFIERS-R,-160
2017-04-07,V,SEA,YGALLARDO-R,110
2017-04-07,H,LAA,JCHAVEZ-R,-120
2017-04-07,V,CLE,JTOMLIN-R,-140
2017-04-07,H,ARI,SMILLER-R,125
2017-04-08,V,CIN,BARROYO-R,160
2017-04-08,H,STL,MWACHA-R,-180
2017-04-08,V,WAS,JGUTHRIE-R,-115
2017-04-08,H,PHI,ANOLA-R,105
2017-04-08,V,ATL,RDICKEY-R,125
2017-04-08,H,PIT,CKUHL-R,-140
2017-04-08,V,MIA,ACONLEY-L,115
2017-04-08,H,NYM,RGSELLMAN-R,-130
2017-04-08,V,CUB,KHENDRICKS-R,-200
2017-04-08,H,MIL,TMILONE-L,175
2017-04-08,V,LOS,CKERSHAW-L,-200
2017-04-08,H,COL,JGRAY-R,175
2017-04-08,V,SFO,MBUMGARNER-L,-220
2017-04-08,H,SDG,JCHACIN-R,195
2017-04-08,V,MIN,AMEJIA-L,110
2017-04-08,H,CWS,MGONZALEZ-R,-120
2017-04-08,V,BOS,ERODRIGUEZ-L,110
2017-04-08,H,DET,JZIMMERMANN-R,-125
2017-04-08,V,KAN,DDUFFY-L,140
2017-04-08,H,HOU,DKEUCHEL-L,-160
2017-04-08,V,NYY,MTANAKA-R,110
2017-04-08,H,BAL,KGAUSMAN-R,-120
2017-04-08,V,OAK,KGRAVEMAN-R,155
2017-04-08,H,TEX,YDARVISH-R,-175
2017-04-08,V,TOR,ASANCHEZ-R,-104
2017-04-08,H,TAM,CARCHER-R,-106
2017-04-08,V,SEA,FHERNANDEZ-R,-130
2017-04-08,H,LAA,RNOLASCO-R,115
2017-04-08,V,CLE,TBAUER-R,103
2017-04-08,H,ARI,ZGREINKE-R,-113
2017-04-09,V,ATL,JTEHERAN-R,125
2017-04-09,H,PIT,GCOLE-R,-140
2017-04-09,V,WAS,SSTRASBURG-R,-165
2017-04-09,H,PHI,JHELLICKSON-R,145
2017-04-09,V,CUB,JARRIETA-R,-200
2017-04-09,H,MIL,ZDAVIES-R,175
2017-04-09,V,CIN,SFELDMAN-R,185
2017-04-09,H,STL,CMARTINEZ-R,-210
2017-04-09,V,LOS,KMAEDA-R,-115
2017-04-09,H,COL,TANDERSON-L,105
2017-04-09,V,SFO,JCUETO-R,-155
2017-04-09,H,SDG,CRICHARD-L,140
2017-04-09,V,MIA,EVOLQUEZ-R,175
2017-04-09,H,NYM,NSYNDERGAARD-R,-200
2017-04-09,V,TOR,MESTRADA-R,-115
2017-04-09,H,TAM,JODORIZZI-R,105
2017-04-09,V,BOS,RPORCELLO-R,-140
2017-04-09,H,DET,DNORRIS-L,125
2017-04-09,V,NYY,CSABATHIA-L,-104
2017-04-09,H,BAL,WMILEY-L,-106
2017-04-09,V,OAK,SMANAEA-L,110
2017-04-09,H,TEX,MPEREZ-L,-125
2017-04-09,V,MIN,ESANTANA-R,110
2017-04-09,H,CWS,JQUINTANA-L,-120
2017-04-09,V,KAN,NKARNS-R,185
2017-04-09,H,HOU,LMCCULLERS-R,-210
2017-04-09,V,SEA,HIWAKUMA-R,110
2017-04-09,H,LAA,MSHOEMAKER-R,-120
2017-04-09,V,CLE,CKLUBER-R,-160
2017-04-09,H,ARI,PCORBIN-L,140
2017-04-10,V,ARI,TWALKER-R,125
2017-04-10,H,SFO,MMOORE-L,-140
2017-04-10,V,NYM,JDEGROM-R,-150
2017-04-10,H,PHI,JEICKHOFF-R,135
2017-04-10,V,STL,AWAINWRIGHT-R,120
2017-04-10,H,WAS,TROARK-R,-135
2017-04-10,V,CIN,BFINNEGAN-L,130
2017-04-10,H,PIT,TGLASNOW-R,-145
2017-04-10,V,LOS,AWOOD-L,160
2017-04-10,H,CUB,JLESTER-L,-180
2017-04-10,V,SDG,JCOSART-R,155
2017-04-10,H,COL,TCHATWOOD-R,-175
2017-04-10,V,BOS,CSALE-L,-105
2017-04-10,H,DET,JVERLANDER-R,-105
2017-04-10,V,OAK,JCOTTON-R,120
