,Game Date,Opponent,Tm,Win Loss,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,G_Pitch,GS_Pitch,H_Pitch,R_Pitch,ER_Pitch,BB_Pitch,SO_Pitch,HR_Pitch,HBP_Pitch,ERA_Pitch,AB_Pitch,2B_Pitch,3B_Pitch,IBB_Pitch,GDP_Pitch,SF_Pitch,SB_Pitch,CS_Pitch,PO_Pitch,BF_Pitch,Pit_Pitch,Str_Pitch,StL_Pitch,StS_Pitch,GB/FB_Pitch,LD_Pitch,PU_Pitch,WHIP_Pitch,BAbip_Pitch,SO9_Pitch
0,2019-04-04,Red_Sox,As,1,1.0,-0.006060606060606766,0.051515151515151285,1.0999999999999996,2.3000000000000007,0.9333333333333336,0.033333333333333354,-0.6333333333333333,1.0999999999999996,-0.033333333333333666,0.033333333333333354,3.733333333333333,-0.2666666666666666,0.0,0.033333333333333354,0.09999999999999998,0.26666666666666666,0.2,0.043324412726732126,0.026697140634117933,-0.00321141837644956,0.023485722257668318,0.0,-1,2,1,1,1,5,3,2,3.8299999999999983,-5,-2,0,-1,-1,1,0,0,0,-1,38,-0.2799999999999998,-0.040000000000000036,0.27,0.25,-0.2799999999999999,-0.5700000000000002,0.5795339412360687,0.011525874136625869,24.7
1,2019-04-04,Tigers,Royals,0,1.0,0.17234848484848442,-0.060606060606061,1.8712121212121209,1.174242424242424,0.5984848484848483,-0.12878787878787878,0.4318181818181817,2.2424242424242418,2.333333333333333,0.0,3.0757575757575752,-0.12878787878787878,0.0,0.20454545454545453,-0.09090909090909094,0.6136363636363635,0.6136363636363635,0.021527777777777785,0.058571428571428615,0.0840277777777777,0.1425992063492063,0.0,0,8,6,6,5,-6,1,-1,26.04,2,4,0,0,2,1,1,0,0,7,22,0.3900000000000001,0.20000000000000007,-0.12999999999999995,0.2100000000000002,0.38,0.07,1.589654170299332,0.17732403739908426,-4.899999999999999
2,2019-04-04,Angels,Rangers,1,1.0,-0.3479532163742687,0.06042884990253405,1.893762183235867,3.2241715399610134,1.1812865497076022,0.1968810916179337,-0.4415204678362573,2.7495126705653017,-2.4385964912280707,0.1968810916179337,5.723196881091617,0.4005847953216374,0.2037037037037037,-0.21052631578947367,-0.4346978557504873,-0.6384015594541911,-0.21734892787524365,0.007364975450081802,-0.05279503105590072,-0.03846153846153855,-0.0912565695174392,0.0,1,14,7,3,-2,15,0,4,-10.65,52,4,0,0,0,0,1,0,0,54,219,1.6100000000000003,0.48,0.16999999999999993,0.5800000000000001,0.76,-0.17,-0.8315817130846033,0.16138200702844505,26.50000000000001
3,2019-04-04,Reds,Pirates,1,1.0,0.4917743830787314,0.6562867215041129,-0.3584018801410096,1.6098707403055244,-0.5346650998824909,0.0,0.5464159811985901,0.2350176263219748,-1.433607520564041,-0.05287896592244412,6.063454759106934,-0.15863689776733247,0.0,-0.05287896592244412,-0.5934195064629846,-0.15863689776733247,0.2173913043478261,0.0038091669788934968,-0.04879908501715592,-0.0011864618458847787,-0.049985546863040686,0.0,1,5,-1,0,3,10,-2,-1,-19.41,31,0,0,0,1,0,2,0,0,33,109,0.96,0.2499999999999999,0.25,2.3600000000000003,-0.18999999999999995,0.15999999999999998,-1.2691697514542568,-0.0057412695845975295,25.9
4,2019-04-04,Nats,Mets,0,1.0,-0.17499999999999982,-0.24772727272727305,-4.213636363636363,-3.2113636363636364,2.220446049250313e-16,-0.7363636363636363,-0.5113636363636362,-3.927272727272727,1.125,0.16363636363636366,3.8863636363636367,-0.1840909090909089,-0.225,-0.061363636363636336,-0.12272727272727267,-0.7977272727272727,-0.061363636363636336,-0.08302041373660132,-0.0446379967338052,-0.1984365399057827,-0.2430745366395879,0.0,0,-8,-4,-4,-2,-1,-1,2,-17.04,-5,-1,0,0,-2,0,-1,0,0,-5,-16,-0.5700000000000003,-0.059999999999999935,-0.14999999999999994,0.07999999999999985,-1.21,0.31,-1.0488904299583912,-0.15498351133614624,-15.5
5,2019-04-04,Jays,Indians,1,1.0,-0.06521739130434813,-0.07351778656126529,0.2260869565217392,1.1067193675889326,0.4403162055335968,0.0,0.6545454545454545,0.4434782608695653,0.6640316205533598,-0.2173913043478261,-0.18339920948616675,0.2181818181818182,0.0,-0.2173913043478261,0.0015810276679841804,0.0,0.2181818181818182,0.011535234899328868,0.014442295293359162,0.10790687919463092,0.1223491744879901,0.0,-1,1,-1,-1,2,-10,0,-2,-4.659999999999998,-13,-1,-1,-1,0,0,1,0,0,-13,-47,-0.06999999999999984,-0.07,-0.05000000000000005,0.13000000000000012,0.2299999999999999,-0.040000000000000036,1.1024787273399923,0.09279479055682101,-16.4
6,2019-04-04,Cubs,Braves,1,1.0,-0.3507246376811599,-0.08405797101449243,-2.550724637681159,-4.1874396135265695,-0.4570048309178745,0.15942028985507248,-0.5951690821256039,-2.2106280193236723,-2.9227053140096624,0.0,0.4463768115942024,0.07439613526570052,-0.24444444444444444,0.15942028985507248,0.06376811594202891,0.4676328502415459,-0.3294685990338164,-0.1022408963585434,-0.12971202570757628,-0.16880714549970946,-0.2985191712072859,0.0,0,9,0,-3,-9,7,-2,1,-72.65,28,2,-1,0,0,0,2,-1,0,20,71,-0.4899999999999998,-0.27,0.2799999999999999,-0.14000000000000012,-0.13000000000000012,0.47,-2.646686365555087,0.09525547842802297,6.8000000000000025
7,2019-04-04,Yankees,Orioles,0,1.0,0.09145427286356787,0.12443778110944505,-2.5562218890554727,-2.877811094452774,-0.6844077961019489,0.0,-1.0059970014992503,-2.02848575712144,-0.1649175412293853,0.37931034482758624,-5.5,-0.3875562218890555,0.0,0.18965517241379312,1.0884557721139432,-0.28860569715142426,0.0,-0.09281196089706724,-0.08872810357958871,-0.2575809852405596,-0.3463090888201483,0.0,0,-14,-8,-8,2,-11,1,1,-30.77,-24,-3,-1,0,1,0,2,0,0,-22,-85,-0.02000000000000001,0.2299999999999999,-0.22,-0.3500000000000001,-1.02,0.7,-0.6497577657452265,-0.17790572667535268,-12.5
8,2019-04-05,Angels,Rangers,0,1.0,-0.8088235294117649,-0.8289760348583877,-2.4596949891067537,-3.751633986928104,-1.7254901960784312,-0.2037037037037037,-0.8017429193899785,-2.0250544662309364,0.7592592592592591,-0.02723311546840959,0.44444444444444464,0.0,0.0,-0.25816993464052285,0.06753812636165579,-0.5163398692810457,0.1764705882352941,-0.054605460546054564,-0.02918586789554528,-0.1931693169316932,-0.22235518482723848,0.0,0,-8,-13,-12,-6,15,-7,0,-20.42,4,5,0,-1,0,0,2,0,0,-3,3,0.7299999999999995,0.3899999999999999,0.19,1.1900000000000002,-0.09999999999999988,0.010000000000000007,-1.169908466819222,-0.05374952417237705,35.2
9,2019-04-05,Reds,Pirates,1,1.0,-0.14100252434186888,-0.334294987378291,-1.576992426974397,-0.9166967183555724,-0.18860439956725594,0.026325279480706808,-1.811756220699604,-2.0551749008294267,1.4038946988820769,0.026325279480706808,-6.161197259285972,0.0789758384421203,-0.1864406779661017,0.2127659574468085,0.8773891092679409,0.3180670753696357,-0.1864406779661017,0.01997435724407853,0.0600250626566417,-0.14869424387610494,-0.08866918121946321,0.0,-1,-4,-3,-4,-4,-3,0,0,-9.6,-21,3,0,0,0,-1,0,-1,0,-26,-91,-0.56,-0.25,-0.22,-0.07000000000000006,-0.79,0.14,-0.07624695541671067,-0.016505393343481334,3.5
