Date,Team,PITCHER
2019-04-04,CLE,Bauer
2019-04-04,TEX,Volquez
2019-04-04,LAA,Harvey
2019-04-05,LAD,Maeda
2019-04-05,COL,Anderson
2019-04-05,CIN,Gray
2019-04-05,PIT,Musgrove
2019-04-05,MIA,Lopez
2019-04-05,ATL,Gausman
2019-04-05,CUB,Quintana
2019-04-05,MIL,Woodruff
2019-04-05,TOR,Thornton
2019-04-05,CLE,Bieber
2019-04-05,OAK,Montas
2019-04-05,HOU,Mchugh
2019-04-05,TEX,Lynn
2019-04-05,LAA,Pena
2019-04-05,TAM,Glasnow
2019-04-05,SFO,Rodriguez
2019-04-05,MIN,Odorizzi
2019-04-05,PHI,Pivetta
2019-04-05,BOS,Porcello
2019-04-05,ARI,Godley
2019-04-05,SEA,Kikuchi
2019-04-05,CWS,Lopez
2019-04-05,SDG,Margevicius
2019-04-05,STL,Flaherty
2019-04-06,WAS,Corbin
2019-04-06,NYM,Matz
2019-04-06,CIN,Roark
2019-04-06,PIT,Williams
2019-04-06,SDG,Paddack
2019-04-06,STL,Wacha
2019-04-06,CUB,Hamels
2019-04-06,MIL,Burnes
2019-04-06,MIA,Alcantara
2019-04-06,ATL,Wright
2019-04-06,LAD,Buehler
2019-04-06,COL,Gray
2019-04-06,KAN,Lopez
2019-04-06,DET,Moore
2019-04-06,SEA,Leake
2019-04-06,CWS,Giolito
2019-04-06,TEX,Smyly
2019-04-06,LAA,Skaggs
2019-04-06,TOR,Pannone
2019-04-06,CLE,Carrasco
2019-04-06,NYY,Happ
2019-04-06,BAL,Bundy
2019-04-06,OAK,Brooks
2019-04-06,HOU,Miley
2019-04-06,MIN,Pineda
2019-04-06,PHI,Arrieta
2019-04-06,TAM,Stanek
2019-04-06,SFO,Samardzija
2019-04-06,BOS,Price
2019-04-06,ARI,Weaver
2019-04-07,WAS,Scherzer
2019-04-07,NYM,Wheeler
2019-04-07,MIA,Smith
2019-04-07,ATL,Newcomb
2019-04-07,CIN,Desclafani
2019-04-07,PIT,Archer
2019-04-07,CUB,Hendricks
2019-04-07,MIL,Davies
2019-04-07,SDG,Strahm
2019-04-07,STL,Wainwright
2019-04-07,LAD,Urias
2019-04-07,COL,Bettis
2019-04-07,NYY,German
2019-04-07,BAL,Hess
2019-04-07,TOR,Stroman
2019-04-07,CLE,Clevinger
2019-04-07,KAN,Keller
2019-04-07,DET,Ross
2019-04-07,OAK,Fiers
2019-04-07,HOU,Peacock
2019-04-07,SEA,Leblanc
2019-04-07,CWS,Nova
2019-04-07,TEX,Miller
2019-04-07,LAA,Stratton
2019-04-07,MIN,Berrios
2019-04-07,PHI,Eflin
