Date,VH,Team,Pitcher,Open,Close,Final
2016-04-03,V,STL,WAINWRIGHT-R,-115,109,1
2016-04-03,H,PIT,FLIRIANO-L,105,-119,4
2016-04-03,V,TOR,MSTROMAN-R,-115,111,5
2016-04-03,H,TAM,CARCHER-R,105,-121,3
2016-04-03,V,NYM,MHARVEY-R,-119,-120,3
2016-04-03,H,KAN,EVOLQUEZ-R,109,110,4
2016-04-04,V,SFO,BUMGARNER-L,-185,-175,12
2016-04-04,H,MIL,WPERALTA-R,165,155,3
2016-04-04,V,WAS,MSCHERZER-R,-200,-180,4
2016-04-04,H,ATL,JTEHERAN-R,175,160,3
2016-04-04,V,PHI,HELLICKSON-R,125,155,2
2016-04-04,H,CIN,RIGLESIAS-R,-140,-175,6
2016-04-04,V,LOS,CKERSHAW-L,-175,-200,15
2016-04-04,H,SDG,TROSS-R,155,175,0
2016-04-04,V,COL,DELAROSA-L,205,155,10
2016-04-04,H,ARI,ZGREINKE-R,-230,-175,5
2016-04-04,V,MIN,ESANTANA-R,109,109,2
2016-04-04,H,BAL,CTILLMAN-R,-119,-119,3
2016-04-04,V,SEA,FHERNANDZ-R,110,111,2
2016-04-04,H,TEX,CHAMELS-L,-125,-126,3
2016-04-04,V,TOR,RDICKEY-R,-109,107,5
2016-04-04,H,TAM,DSMYLY-L,-101,-117,3
2016-04-04,V,CWS,CSALE-L,110,-145,4
2016-04-04,H,OAK,RHILL-L,-125,130,3
2016-04-04,V,CUB,JARRIETA-R,-145,-145,9
2016-04-04,H,LAA,GRICHARDS-R,130,130,0
2016-04-05,V,STL,MWACHA-R,-115,102,5
2016-04-05,H,PIT,JNIESE-L,105,-112,6
2016-04-05,V,SFO,JCUETO-R,-140,-158,2
2016-04-05,H,MIL,JNELSON-R,125,143,1
2016-04-05,V,COL,CBETTIS-R,145,115,6
2016-04-05,H,ARI,SMILLER-R,-165,-130,11
2016-04-05,V,LOS,SKAZMIR-L,-140,-115,3
2016-04-05,H,SDG,JSHIELDS-R,125,105,0
2016-04-05,V,TOR,ASANCHEZ-R,110,-107,2
2016-04-05,H,TAM,JODORIZZI-R,-125,-103,3
2016-04-05,V,SEA,HIWAKUMA-R,110,-103,10
2016-04-05,H,TEX,MPEREZ-L,-120,-107,2
2016-04-05,V,CWS,JQUINTANA-L,-115,-113,5
2016-04-05,H,OAK,CBASSITT-R,105,103,4
2016-04-05,V,NYM,SYNDERGARD-R,-125,-127,2
2016-04-05,H,KAN,CYOUNG-R,110,112,0
2016-04-05,V,DET,VERLANDER-R,-115,-107,8
2016-04-05,H,MIA,WCHEN-L,105,-103,7
2016-04-05,V,CUB,JLESTER-L,-130,-125,6
2016-04-05,H,LAA,AHEANEY-L,115,110,1
2016-04-05,V,HOU,DKEUCHEL-L,-130,-123,5
2016-04-05,H,NYY,MTANAKA-R,115,113,3
2016-04-05,V,BOS,DPRICE-L,-104,113,6
2016-04-05,H,CLE,CKLUBER-R,-106,-123,2
2016-04-06,V,SFO,JSAMARDZI-R,-132,-141,3
2016-04-06,H,MIL,JUNGMANN-R,117,126,4
2016-04-06,V,COL,TCHATWOOD-R,162,125,4
2016-04-06,H,ARI,PCORBIN-L,-182,-140,3
2016-04-06,V,STL,MLEAKE-R,-105,102,1
2016-04-06,H,PIT,JNICASIO-R,-105,-112,5
2016-04-06,V,WAS,SSTRASBUR-R,-191,-190,3
2016-04-06,H,ATL,BNORRIS-R,171,170,1
2016-04-06,V,PHI,ANOLA-R,115,117,2
2016-04-06,H,CIN,BFINNEGAN-L,-130,-132,3
2016-04-06,V,LOS,KMAEDA-R,-125,-145,7
2016-04-06,H,SDG,ACASHNER-R,110,130,0
2016-04-06,V,TOR,JHAPP-L,106,-123,3
2016-04-06,H,TAM,MMOORE-L,-116,113,5
2016-04-06,V,SEA,WMILEY-L,110,-130,9
2016-04-06,H,TEX,CLEWIS-R,-125,115,5
2016-04-06,V,BOS,CBUCHHOLZ-R,113,126,6
2016-04-06,H,CLE,CCARRASCO-R,-123,-141,7
2016-04-06,V,HOU,CMCHUGH-R,106,116,6
2016-04-06,H,NYY,MPINEDA-R,-116,-131,16
2016-04-06,V,MIN,KGIBSON-R,110,106,2
2016-04-06,H,BAL,YGALLARDO-R,-125,-116,4
2016-04-06,V,CWS,CRODON-L,128,112,1
2016-04-06,H,OAK,SGRAY-R,-143,-127,2
2016-04-06,V,DET,ASANCHEZ-R,136,154,7
2016-04-06,H,MIA,JFERNANDZ-R,-151,-174,3
2016-04-07,V,PHI,CMORTON-R,125,111,6
2016-04-07,H,CIN,STEPHENSON-R,-140,-126,10
2016-04-07,V,MIA,ACONLEY-L,135,126,6
2016-04-07,H,WAS,TROARK-R,-150,-141,4
2016-04-07,V,LOS,AWOOD-L,105,110,6
2016-04-07,H,SFO,JPEAVY-R,-115,-120,12
2016-04-07,V,CUB,JLACKEY-R,-150,-177,14
2016-04-07,H,ARI,RDELAROSA-R,135,157,6
2016-04-07,V,CWS,MLATOS-R,-115,101,6
2016-04-07,H,OAK,KGRAVEMAN-R,105,-111,1
2016-04-07,V,HOU,MFIERS-R,115,-103,5
2016-04-07,H,NYY,NEOVALDI-R,-130,-107,8
2016-04-07,V,MIN,PHUGHES-R,125,125,2
2016-04-07,H,BAL,UJIMENEZ-R,-140,-140,4
2016-04-07,V,TEX,DHOLLAND-L,-104,129,3
